Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
The White Tiger,Aravind Adiga,Fiction,India,Contemporary,Indian Literature,Novels,Asia,Literary Fiction,the white tiger aravind adiga fiction india contemporary indian literature novels asia literary fiction
In Defense of Food: An Eater's Manifesto,Michael Pollan,Nonfiction,Food,Health,Science,Nutrition,Audiobook,Cooking,in defense of food an eaters manifesto michael pollan nonfiction food health science nutrition audiobook cooking
"Allegiant (Divergent, #3)",Veronica Roth,Young Adult,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,allegiant divergent  veronica roth young adult dystopia fiction fantasy science fiction romance adventure
Solaris,Stanisław Lem,Science Fiction,Fiction,Classics,Polish Literature,Science Fiction Fantasy,Philosophy,Fantasy,solaris stanisaw lem science fiction fiction classics polish literature science fiction fantasy philosophy fantasy
Nausea,Jean-Paul Sartre,Philosophy,Fiction,Classics,France,Literature,French Literature,Novels,nausea jeanpaul sartre philosophy fiction classics france literature french literature novels
Germinal,Émile Zola,Classics,Fiction,France,French Literature,Literature,Historical Fiction,19th Century,germinal mile zola classics fiction france french literature literature historical fiction th century
The Book of Negroes,Lawrence Hill,Historical Fiction,Fiction,Canada,Historical,Africa,African American,Book Club,the book of negroes lawrence hill historical fiction fiction canada historical africa african american book club
Chasing the Red Queen,Karen Glista,Fiction,Young Adult,Romance,New Adult,Fantasy,Adult,Novels,chasing the red queen karen glista fiction young adult romance new adult fantasy adult novels
The Magic Mountain,Thomas Mann,Fiction,Classics,German Literature,Literature,Philosophy,Novels,Germany,the magic mountain thomas mann fiction classics german literature literature philosophy novels germany
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,Horror,Fiction,Mystery,Fantasy,Thriller,Paranormal,Supernatural,odd thomas odd thomas  dean koontz horror fiction mystery fantasy thriller paranormal supernatural
The Mayor of Casterbridge,Thomas Hardy,Classics,Fiction,Literature,19th Century,Victorian,Novels,British Literature,the mayor of casterbridge thomas hardy classics fiction literature th century victorian novels british literature
Lips of a Mastodon,Ted Bernal Guevara,Fiction,Drama,Psychological Thriller,Novels,Crime,Mystery,Thriller,lips of a mastodon ted bernal guevara fiction drama psychological thriller novels crime mystery thriller
The Winter of Our Discontent,John Steinbeck,Classics,Fiction,Literature,American,Novels,Literary Fiction,20th Century,the winter of our discontent john steinbeck classics fiction literature american novels literary fiction th century
Shutter Island,Dennis Lehane,Mystery,Fiction,Thriller,Horror,Mystery Thriller,Suspense,Crime,shutter island dennis lehane mystery fiction thriller horror mystery thriller suspense crime
The Great Divorce,C.S. Lewis,Christian,Fiction,Religion,Classics,Theology,Christianity,Fantasy,the great divorce cs lewis christian fiction religion classics theology christianity fantasy
The Poetry of Robert Frost,Robert Frost,Poetry,Classics,Fiction,Literature,American,20th Century,Anthologies,the poetry of robert frost robert frost poetry classics fiction literature american th century anthologies
Forty-Ninth,Boris Pronsky,Historical Fiction,Novels,Fiction,Historical,American History,Russian History,Adventure,fortyninth boris pronsky historical fiction novels fiction historical american history russian history adventure
The Maltese Falcon,Dashiell Hammett,Mystery,Fiction,Classics,Crime,Noir,Detective,Mystery Thriller,the maltese falcon dashiell hammett mystery fiction classics crime noir detective mystery thriller
The Jungle Book,Rudyard Kipling,Classics,Fiction,Childrens,Fantasy,Adventure,Short Stories,Animals,the jungle book rudyard kipling classics fiction childrens fantasy adventure short stories animals
Message in a Bottle,Nicholas Sparks,Romance,Fiction,Chick Lit,Contemporary,Adult,Adult Fiction,Contemporary Romance,message in a bottle nicholas sparks romance fiction chick lit contemporary adult adult fiction contemporary romance
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,Fantasy,Fiction,Epic Fantasy,High Fantasy,Magic,Science Fiction Fantasy,Adventure,the wise mans fear the kingkiller chronicle  patrick rothfuss fantasy fiction epic fantasy high fantasy magic science fiction fantasy adventure
We the Living,Ayn Rand,Fiction,Classics,Philosophy,Historical Fiction,Literature,Politics,Russia,we the living ayn rand fiction classics philosophy historical fiction literature politics russia
"Mister God, This is Anna",Fynn,Fiction,Religion,Spirituality,Philosophy,Christian,Classics,Young Adult,mister god this is anna fynn fiction religion spirituality philosophy christian classics young adult
The Awakening: Fate in Motion,Suzanne Boisvert,Fiction,Contemporary,Novels,Fantasy,Young Adult,Adventure,Middle Grade,the awakening fate in motion suzanne boisvert fiction contemporary novels fantasy young adult adventure middle grade
Kindred,Octavia E. Butler,Historical Fiction,Fiction,Science Fiction,Fantasy,Time Travel,Classics,Historical,kindred octavia e butler historical fiction fiction science fiction fantasy time travel classics historical
The Yearling,Marjorie Kinnan Rawlings,Classics,Fiction,Young Adult,Animals,Historical Fiction,Childrens,Literature,the yearling marjorie kinnan rawlings classics fiction young adult animals historical fiction childrens literature
A Scanner Darkly,Philip K. Dick,Science Fiction,Fiction,Dystopia,Science Fiction Fantasy,Classics,Novels,Cyberpunk,a scanner darkly philip k dick science fiction fiction dystopia science fiction fantasy classics novels cyberpunk
"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,Historical Fiction,Fiction,Fantasy,Historical,Romance,Prehistoric,Adventure,the valley of horses earths children  jean m auel historical fiction fiction fantasy historical romance prehistoric adventure
A Christmas Carol and Other Christmas Writings,Charles Dickens,Classics,Fiction,Christmas,Short Stories,Literature,Fantasy,19th Century,a christmas carol and other christmas writings charles dickens classics fiction christmas short stories literature fantasy th century
Johnny Tremain,Esther Forbes,Historical Fiction,Fiction,Classics,Young Adult,Childrens,Historical,Middle Grade,johnny tremain esther forbes historical fiction fiction classics young adult childrens historical middle grade
Christy,Catherine Marshall,Historical Fiction,Fiction,Classics,Christian Fiction,Christian,Romance,Historical,christy catherine marshall historical fiction fiction classics christian fiction christian romance historical
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,Nonfiction,Memoir,Africa,Biography,War,History,Biography Memoir,a long way gone memoirs of a boy soldier ishmael beah nonfiction memoir africa biography war history biography memoir
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,Fantasy,Young Adult,Romance,Paranormal,Urban Fantasy,Vampires,Fiction,city of lost souls the mortal instruments  cassandra clare fantasy young adult romance paranormal urban fantasy vampires fiction
Invisible Cities,Italo Calvino,Fiction,Classics,Fantasy,Short Stories,Magical Realism,Italian Literature,Literature,invisible cities italo calvino fiction classics fantasy short stories magical realism italian literature literature
The Little Engine That Could,Watty Piper,Picture Books,Childrens,Classics,Fiction,Trains,Fantasy,Kids,the little engine that could watty piper picture books childrens classics fiction trains fantasy kids
Look Me in the Eye: My Life with Asperger's,John Elder Robison,Nonfiction,Memoir,Autistic Spectrum Disorder,Biography,Psychology,Biography Memoir,Autobiography,look me in the eye my life with aspergers john elder robison nonfiction memoir autistic spectrum disorder biography psychology biography memoir autobiography
Under the Dome,Stephen King,Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Audiobook,under the dome stephen king horror fiction science fiction thriller fantasy mystery audiobook
"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,Young Adult,Fantasy,Science Fiction,Fiction,Aliens,Romance,Paranormal,i am number four lorien legacies  pittacus lore young adult fantasy science fiction fiction aliens romance paranormal
The Shadow Girl,Misty Mount,Fantasy,Fiction,Drama,Contemporary,Book Club,Novels,Young Adult,the shadow girl misty mount fantasy fiction drama contemporary book club novels young adult
The Guardian of Secrets and Her Deathly Pact,Jana Petken,Historical Fiction,War,Adventure,Drama,Epic,Fiction,Historical,the guardian of secrets and her deathly pact jana petken historical fiction war adventure drama epic fiction historical
The Robe,Lloyd C. Douglas,Historical Fiction,Fiction,Classics,Christian,Christian Fiction,Religion,Historical,the robe lloyd c douglas historical fiction fiction classics christian christian fiction religion historical
"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,Historical Fiction,Romance,Historical,Historical Romance,Fiction,War,Russia,the bronze horseman the bronze horseman  paullina simons historical fiction romance historical historical romance fiction war russia
The Nanny Song,Misty Mount,Fiction,Young Adult,Contemporary,New Adult,Adult,Contemporary Romance,Romance,the nanny song misty mount fiction young adult contemporary new adult adult contemporary romance romance
Portrait of Our Marriage,Martha Emms,Marriage,Womens Fiction,Fiction,Modern,Romance,Contemporary,Chick Lit,portrait of our marriage martha emms marriage womens fiction fiction modern romance contemporary chick lit
"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy, #1)",John le Carré,Fiction,Mystery,Thriller,Espionage,Classics,Crime,Mystery Thriller,tinker tailor soldier spy george smiley  karla trilogy  john le carr fiction mystery thriller espionage classics crime mystery thriller
The Very Hungry Caterpillar,Eric Carle,Picture Books,Childrens,Fiction,Classics,Animals,Food,Counting,the very hungry caterpillar eric carle picture books childrens fiction classics animals food counting
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,Fantasy,Young Adult,Romance,Paranormal,Urban Fantasy,Vampires,Fiction,city of fallen angels the mortal instruments  cassandra clare fantasy young adult romance paranormal urban fantasy vampires fiction
Choke,Chuck Palahniuk,Fiction,Contemporary,Humor,Novels,Literature,Adult,American,choke chuck palahniuk fiction contemporary humor novels literature adult american
Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,Psychology,Contemporary,Fiction,0,0,0,0,carnal somewhere over  winks rom lcofeer psychology contemporary fiction    
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,Romance,Young Adult,Contemporary,Fiction,Chick Lit,Realistic Fiction,Contemporary Romance,anna and the french kiss anna and the french kiss  stephanie perkins romance young adult contemporary fiction chick lit realistic fiction contemporary romance
Running with Scissors,Augusten Burroughs,Memoir,Nonfiction,Biography,Humor,Biography Memoir,Autobiography,LGBT,running with scissors augusten burroughs memoir nonfiction biography humor biography memoir autobiography lgbt
"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",Władysław Szpilman,Nonfiction,History,Biography,Holocaust,War,Memoir,World War II,the pianist the extraordinary story of one mans survival in warsaw  wadysaw szpilman nonfiction history biography holocaust war memoir world war ii
"The Winds of War (The Henry Family, #1)",Herman Wouk,Historical Fiction,Fiction,World War II,War,Historical,Classics,Audiobook,the winds of war the henry family  herman wouk historical fiction fiction world war ii war historical classics audiobook
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,Young Adult,Fiction,Contemporary,Realistic Fiction,Humor,Coming Of Age,School,the absolutely true diary of a parttime indian sherman alexie young adult fiction contemporary realistic fiction humor coming of age school
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Nonfiction,Memoir,Travel,Biography,Adventure,Audiobook,Biography Memoir,wild from lost to found on the pacific crest trail cheryl strayed nonfiction memoir travel biography adventure audiobook biography memoir
In and Out of Step,Christine M. Knight,Fiction,0,0,0,0,0,0,in and out of step christine m knight fiction      
An Abundance of Katherines,John Green,Young Adult,Fiction,Contemporary,Romance,Realistic Fiction,Teen,Humor,an abundance of katherines john green young adult fiction contemporary romance realistic fiction teen humor
Pygmalion,George Bernard Shaw,Classics,Plays,Fiction,Drama,Theatre,School,Literature,pygmalion george bernard shaw classics plays fiction drama theatre school literature
Dear John,Nicholas Sparks,Romance,Fiction,Chick Lit,Contemporary,Adult,Adult Fiction,Contemporary Romance,dear john nicholas sparks romance fiction chick lit contemporary adult adult fiction contemporary romance
Mission: Subhero,Linda    Armstrong,Fiction,Contemporary,Young Adult,Novels,New Adult,Middle Grade,Adventure,mission subhero linda    armstrong fiction contemporary young adult novels new adult middle grade adventure
Fierce Love: Creating a Love that Lasts—One Conversation at a Time,Susan Scott,Self Help,Nonfiction,Psychology,Inspirational,Personal Development,Relationships,Productivity,fierce love creating a love that lastsone conversation at a time susan scott self help nonfiction psychology inspirational personal development relationships productivity
Not Without My Daughter,Betty Mahmoody,Nonfiction,Biography,Memoir,Iran,Biography Memoir,Autobiography,Drama,not without my daughter betty mahmoody nonfiction biography memoir iran biography memoir autobiography drama
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Nonfiction,Self Help,Psychology,Business,Personal Development,Productivity,Audiobook,the power of habit why we do what we do in life and business charles duhigg nonfiction self help psychology business personal development productivity audiobook
The Book of Occult,Simon W. Clark,Fiction,Occult,Horror,Thriller,Mystery,Fantasy,Supernatural,the book of occult simon w clark fiction occult horror thriller mystery fantasy supernatural
The Blue Castle,L.M. Montgomery,Classics,Fiction,Romance,Historical Fiction,Young Adult,Historical,Canada,the blue castle lm montgomery classics fiction romance historical fiction young adult historical canada
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,Nonfiction,History,Africa,War,Politics,Rwanda,Journalism,we wish to inform you that tomorrow we will be killed with our families philip gourevitch nonfiction history africa war politics rwanda journalism
The Eden Paradox,Barry Kirwan,Science Fiction,Fiction,Dystopia,Space Opera,Contemporary,Novels,Space,the eden paradox barry kirwan science fiction fiction dystopia space opera contemporary novels space
The Essential Rumi,Rumi,Poetry,Classics,Spirituality,Philosophy,Religion,Nonfiction,Islam,the essential rumi rumi poetry classics spirituality philosophy religion nonfiction islam
The Scopas Factor,Vincent Panettiere,Contemporary,Fiction,New Adult,Drama,Novels,Adult,Crime,the scopas factor vincent panettiere contemporary fiction new adult drama novels adult crime
Making Hearts,Jack Getze,Contemporary,Fiction,Drama,Novels,Epic,Romance,Family,making hearts jack getze contemporary fiction drama novels epic romance family
The Gargoyle,Andrew  Davidson,Fiction,Fantasy,Historical Fiction,Romance,Historical,Contemporary,Gothic,the gargoyle andrew  davidson fiction fantasy historical fiction romance historical contemporary gothic
"Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC",Zack Love,Romance,Humor,Fiction,Contemporary,Chick Lit,Contemporary Romance,Comedy,sex in the title a comedy about dating sex and romance in nyc zack love romance humor fiction contemporary chick lit contemporary romance comedy
The Agony and the Ecstasy,Irving Stone,Historical Fiction,Fiction,Art,Classics,Italy,Historical,Art History,the agony and the ecstasy irving stone historical fiction fiction art classics italy historical art history
A Conceptual Circus,Kenneth Jarrett Singleton,Poetry,Contemporary,Fiction,0,0,0,0,a conceptual circus kenneth jarrett singleton poetry contemporary fiction    
"Stones from the River (Burgdorf Cycle, #1)",Ursula Hegi,Fiction,Historical Fiction,Germany,World War II,Holocaust,Historical,War,stones from the river burgdorf cycle  ursula hegi fiction historical fiction germany world war ii holocaust historical war
Brighton Rock,Graham Greene,Fiction,Classics,Crime,Mystery,Literature,British Literature,Thriller,brighton rock graham greene fiction classics crime mystery literature british literature thriller
The Woman in White,Wilkie Collins,Classics,Mystery,Fiction,Gothic,Horror,19th Century,Victorian,the woman in white wilkie collins classics mystery fiction gothic horror th century victorian
Lullaby,Chuck Palahniuk,Fiction,Horror,Contemporary,Fantasy,Novels,Thriller,American,lullaby chuck palahniuk fiction horror contemporary fantasy novels thriller american
Harriet the Spy,Louise Fitzhugh,Fiction,Childrens,Middle Grade,Young Adult,Classics,Mystery,Realistic Fiction,harriet the spy louise fitzhugh fiction childrens middle grade young adult classics mystery realistic fiction
"Karolina Dalca, Dark Eyes",M.R. Noble,Fantasy,Drama,Vampires,Fiction,Contemporary,Novels,Paranormal,karolina dalca dark eyes mr noble fantasy drama vampires fiction contemporary novels paranormal
"The Black Stallion (The Black Stallion, #1)",Walter Farley,Classics,Fiction,Childrens,Horses,Young Adult,Animals,Adventure,the black stallion the black stallion  walter farley classics fiction childrens horses young adult animals adventure
The Guns of August,Barbara W. Tuchman,History,Nonfiction,War,World War I,Military Fiction,Military History,Politics,the guns of august barbara w tuchman history nonfiction war world war i military fiction military history politics
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Greg Behrendt,Nonfiction,Self Help,Chick Lit,Relationships,Humor,Psychology,Romance,hes just not that into you the noexcuses truth to understanding guys greg behrendt nonfiction self help chick lit relationships humor psychology romance
"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,Classics,Fiction,Humor,Travel,Comedy,British Literature,19th Century,three men in a boat three men  jerome k jerome classics fiction humor travel comedy british literature th century
The Firm,Robin Waterfield,Fiction,Thriller,Mystery,Crime,Suspense,Mystery Thriller,Legal Thriller,the firm robin waterfield fiction thriller mystery crime suspense mystery thriller legal thriller
"The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,Fantasy,Fiction,Historical Fiction,Arthurian,Historical,Mythology,Science Fiction Fantasy,the crystal cave arthurian saga  mary  stewart fantasy fiction historical fiction arthurian historical mythology science fiction fantasy
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Nonfiction,History,Business,Economics,Politics,Technology,Sociology,the world is flat a brief history of the twentyfirst century thomas l friedman nonfiction history business economics politics technology sociology
The Invention of Religion,Alexander Drake,Religion,Nonfiction,History,Philosophy,Atheism,Science,Psychology,the invention of religion alexander drake religion nonfiction history philosophy atheism science psychology
The Kitchen House,Kathleen Grissom,Historical Fiction,Fiction,Historical,Book Club,Audiobook,Adult,Adult Fiction,the kitchen house kathleen grissom historical fiction fiction historical book club audiobook adult adult fiction
The Rules of Attraction,Bret Easton Ellis,Fiction,Contemporary,Novels,LGBT,American,Literature,Literary Fiction,the rules of attraction bret easton ellis fiction contemporary novels lgbt american literature literary fiction
The Long Walk,Richard Bachman,Horror,Fiction,Dystopia,Thriller,Science Fiction,Fantasy,Audiobook,the long walk richard bachman horror fiction dystopia thriller science fiction fantasy audiobook
The Cadaver Factory,Kenneth Jarrett Singleton,Fiction,Horror,Contemporary,Mystery,Suspense,Science Fiction,Crime,the cadaver factory kenneth jarrett singleton fiction horror contemporary mystery suspense science fiction crime
Ordinary People,Judith Guest,Fiction,Classics,Contemporary,Psychology,Novels,Young Adult,Literature,ordinary people judith guest fiction classics contemporary psychology novels young adult literature
"Hometown Girl at Heart (Hometown, #1)",Kirsten Fullmer,Romance,Contemporary,Fiction,New Adult,Contemporary Romance,Young Adult,Love Story,hometown girl at heart hometown  kirsten fullmer romance contemporary fiction new adult contemporary romance young adult love story
"Men Are from Mars, Women Are from Venus",John  Gray,Nonfiction,Self Help,Psychology,Relationships,Personal Development,Marriage,Philosophy,men are from mars women are from venus john  gray nonfiction self help psychology relationships personal development marriage philosophy
Sharp Objects,Gillian Flynn,Mystery,Fiction,Thriller,Mystery Thriller,Crime,Suspense,Audiobook,sharp objects gillian flynn mystery fiction thriller mystery thriller crime suspense audiobook
Batman: The Dark Knight Returns,Frank Miller,Comics,Graphic Novels,Batman,Fiction,Comic Book,Graphic Novels Comics,Dc Comics,batman the dark knight returns frank miller comics graphic novels batman fiction comic book graphic novels comics dc comics
Dress Your Family in Corduroy and Denim,David Sedaris,Humor,Nonfiction,Memoir,Essays,Short Stories,Comedy,Audiobook,dress your family in corduroy and denim david sedaris humor nonfiction memoir essays short stories comedy audiobook
Where the Heart Is,Billie Letts,Fiction,Chick Lit,Romance,Contemporary,Adult Fiction,Adult,Drama,where the heart is billie letts fiction chick lit romance contemporary adult fiction adult drama
The Lathe of Heaven,Ursula K. Le Guin,Science Fiction,Fiction,Fantasy,Dystopia,Classics,Science Fiction Fantasy,Speculative Fiction,the lathe of heaven ursula k le guin science fiction fiction fantasy dystopia classics science fiction fantasy speculative fiction
The Complete Calvin and Hobbes,Bill Watterson,Comics,Humor,Graphic Novels,Fiction,Classics,Comedy,Graphic Novels Comics,the complete calvin and hobbes bill watterson comics humor graphic novels fiction classics comedy graphic novels comics
"Vision to Reality: Stop Working, Start Living",Curtis L. Jenkins,Business,Nonfiction,Self Help,How To,Education,Productivity,Inspirational,vision to reality stop working start living curtis l jenkins business nonfiction self help how to education productivity inspirational
The End of the Affair,Graham Greene,Fiction,Classics,Romance,Audiobook,Literature,Novels,British Literature,the end of the affair graham greene fiction classics romance audiobook literature novels british literature
People of the Book,Geraldine Brooks,Historical Fiction,Fiction,Books About Books,Historical,Mystery,Book Club,Jewish,people of the book geraldine brooks historical fiction fiction books about books historical mystery book club jewish
The Day of the Jackal,Frederick Forsyth,Fiction,Thriller,Mystery,Crime,Espionage,Historical Fiction,Suspense,the day of the jackal frederick forsyth fiction thriller mystery crime espionage historical fiction suspense
Some Are Sicker Than Others,Andrew Seaward,Fiction,Contemporary,Thriller,Mental Health,Drama,Adult,Dark,some are sicker than others andrew seaward fiction contemporary thriller mental health drama adult dark
"The Manufactured Identity (Manufactured Identity, #1)",Heath Sommer,Mystery,Psychology,Fiction,Thriller,Suspense,Mystery Thriller,Psychological Thriller,the manufactured identity manufactured identity  heath sommer mystery psychology fiction thriller suspense mystery thriller psychological thriller
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,Science,Nonfiction,Biography,Physics,Memoir,Autobiography,Humor,surely youre joking mr feynman adventures of a curious character richard p feynman science nonfiction biography physics memoir autobiography humor
On Liberty,John Stuart Mill,Philosophy,Politics,Nonfiction,Classics,History,Political Science,Economics,on liberty john stuart mill philosophy politics nonfiction classics history political science economics
Incidents in the Life of a Slave Girl,Harriet Ann Jacobs,Nonfiction,History,Classics,Memoir,Biography,African American,Autobiography,incidents in the life of a slave girl harriet ann jacobs nonfiction history classics memoir biography african american autobiography
Beyond Good and Evil,Friedrich Nietzsche,Philosophy,Nonfiction,Classics,Psychology,German Literature,Religion,19th Century,beyond good and evil friedrich nietzsche philosophy nonfiction classics psychology german literature religion th century
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,Nonfiction,Science,History,Medicine,Medical,Horror,Thriller,the hot zone the terrifying true story of the origins of the ebola virus richard   preston nonfiction science history medicine medical horror thriller
Notes from Underground,Fyodor Dostoevsky,Classics,Fiction,Philosophy,Russia,Russian Literature,Literature,Novels,notes from underground fyodor dostoevsky classics fiction philosophy russia russian literature literature novels
Notice Me,Emem Uko,Fiction,Contemporary,Young Adult,Adult,Novels,New Adult,Teen,notice me emem uko fiction contemporary young adult adult novels new adult teen
Last Exit to Brooklyn,Hubert Selby Jr.,Fiction,Classics,New York,American,Novels,Literature,Contemporary,last exit to brooklyn hubert selby jr fiction classics new york american novels literature contemporary
Cujo,Stephen King,Horror,Fiction,Thriller,Suspense,Animals,Adult,Audiobook,cujo stephen king horror fiction thriller suspense animals adult audiobook
The Holy Bible: English Standard Version,Anonymous,Religion,Christian,Nonfiction,Reference,Christianity,Theology,Classics,the holy bible english standard version anonymous religion christian nonfiction reference christianity theology classics
All the King's Men,Robert Penn Warren,Fiction,Classics,Historical Fiction,Politics,Literature,Novels,American,all the kings men robert penn warren fiction classics historical fiction politics literature novels american
Half of a Yellow Sun,Chimamanda Ngozi Adichie,Fiction,Historical Fiction,Africa,Nigeria,War,Historical,African Literature,half of a yellow sun chimamanda ngozi adichie fiction historical fiction africa nigeria war historical african literature
Americanah,Chimamanda Ngozi Adichie,Fiction,Africa,Contemporary,Feminism,Literary Fiction,Race,Nigeria,americanah chimamanda ngozi adichie fiction africa contemporary feminism literary fiction race nigeria
Floating in Darkness - A Journey of Evolution,Ron Garan,Nonfiction,How To,Education,Drama,Book Club,Inspirational,0,floating in darkness  a journey of evolution ron garan nonfiction how to education drama book club inspirational 
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,Nonfiction,Military Fiction,History,War,Biography,Memoir,Military History,lone survivor the eyewitness account of operation redwing and the lost heroes of seal team  marcus luttrell nonfiction military fiction history war biography memoir military history
A Man with A White Shadow,Vikram Suryawanshi,Fiction,India,0,0,0,0,0,a man with a white shadow vikram suryawanshi fiction india     
"Pro Leadership: Establishing Your Credibility, Building Your Following and Leading With Impact",Andrew  Wyatt,Nonfiction,Book Club,Education,Inspirational,Contemporary,0,0,pro leadership establishing your credibility building your following and leading with impact andrew  wyatt nonfiction book club education inspirational contemporary  
The Dark Tower #1-3,Stephen King,Fantasy,Fiction,Horror,Science Fiction,Thriller,Science Fiction Fantasy,Epic Fantasy,the dark tower  stephen king fantasy fiction horror science fiction thriller science fiction fantasy epic fantasy
"Kerri's War (The King Trilogy, #3)",Stephen Douglass,Thriller,Romance,Crime,Amazon,0,0,0,kerris war the king trilogy  stephen douglass thriller romance crime amazon   
Arrangement in Black and White,Fred Misurella,Fiction,Contemporary,Adult,Novels,New Adult,Love Story,Romance,arrangement in black and white fred misurella fiction contemporary adult novels new adult love story romance
Letter to a Christian Nation,Sam Harris,Nonfiction,Religion,Philosophy,Atheism,Politics,Science,Christianity,letter to a christian nation sam harris nonfiction religion philosophy atheism politics science christianity
100 Love Sonnets,Pablo Neruda,Poetry,Classics,Romance,Spanish Literature,Love,Nonfiction,Latin American, love sonnets pablo neruda poetry classics romance spanish literature love nonfiction latin american
The Gettysburg Address,Abraham Lincoln,History,Nonfiction,Politics,Classics,American History,Civil War,Historical,the gettysburg address abraham lincoln history nonfiction politics classics american history civil war historical
"The Andromeda Strain (Andromeda, #1)",Michael Crichton,Science Fiction,Fiction,Thriller,Mystery,Science Fiction Fantasy,Horror,Suspense,the andromeda strain andromeda  michael crichton science fiction fiction thriller mystery science fiction fantasy horror suspense
Hopscotch,Julio Cortázar,Fiction,Classics,Spanish Literature,Literature,Latin American,Novels,Magical Realism,hopscotch julio cortzar fiction classics spanish literature literature latin american novels magical realism
Blind Pony: As True A Story As I Can Tell,Samantha   Hart,Nonfiction,Book Club,How To,Inspirational,Education,0,0,blind pony as true a story as i can tell samantha   hart nonfiction book club how to inspirational education  
Metamorphoses,Ovid,Classics,Poetry,Mythology,Fiction,Literature,Fantasy,Ancient,metamorphoses ovid classics poetry mythology fiction literature fantasy ancient
The Miracle of Mindfulness: An Introduction to the Practice of Meditation,Thich Nhat Hanh,Nonfiction,Spirituality,Buddhism,Philosophy,Self Help,Religion,Psychology,the miracle of mindfulness an introduction to the practice of meditation thich nhat hanh nonfiction spirituality buddhism philosophy self help religion psychology
Principles: Life and Work,Ray Dalio,Business,Nonfiction,Self Help,Leadership,Finance,Personal Development,Philosophy,principles life and work ray dalio business nonfiction self help leadership finance personal development philosophy
Gravity's Rainbow,Thomas Pynchon,Fiction,Classics,Literature,Science Fiction,Historical Fiction,Novels,American,gravitys rainbow thomas pynchon fiction classics literature science fiction historical fiction novels american
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,Science,Nonfiction,Astronomy,Space,Philosophy,Physics,Popular Science,pale blue dot a vision of the human future in space carl sagan science nonfiction astronomy space philosophy physics popular science
"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)",Nancy E. Turner,Historical Fiction,Fiction,Historical,Romance,Westerns,Book Club,Adult Fiction,these is my words the diary of sarah agnes prine  arizona territories sarah agnes prine  nancy e turner historical fiction fiction historical romance westerns book club adult fiction
"The Talisman (The Talisman, #1)",Stephen King,Horror,Fantasy,Fiction,Thriller,Adventure,Mystery,Audiobook,the talisman the talisman  stephen king horror fantasy fiction thriller adventure mystery audiobook
The Myth of Sisyphus and Other Essays,Albert Camus,Philosophy,Nonfiction,Classics,Essays,France,Literature,French Literature,the myth of sisyphus and other essays albert camus philosophy nonfiction classics essays france literature french literature
The Search for Mother Missing: A Peek Inside International Adoption (Adoption Books for Adults),Janine Vance,Nonfiction,Adoption,How To,Education,Inspirational,0,0,the search for mother missing a peek inside international adoption adoption books for adults janine vance nonfiction adoption how to education inspirational  
The New York Trilogy,Paul Auster,Fiction,Mystery,American,Novels,Literature,Contemporary,New York,the new york trilogy paul auster fiction mystery american novels literature contemporary new york
Get Rich or Get Lucky,Max Nowaz,Fantasy,Fiction,Contemporary,Novels,Drama,0,0,get rich or get lucky max nowaz fantasy fiction contemporary novels drama  
Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,History,Nonfiction,Biography,American History,Adventure,Historical,Travel,undaunted courage the pioneering first mission to explore americas wild frontier stephen e ambrose history nonfiction biography american history adventure historical travel
